id,record_id,pub_id,contrib_id,user_id,record_title,last_edited,year,month,day,status,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name
531,124909790,24241,NULL,2,"Holiday Publications",2020-02-10,1887,NULL,NULL,done,single_focus,"Representative Etchings by Artists of To-day in America",1887,"Frederick A. Stokes & Bro",http://viaf.org/viaf/131785575,Nonfiction,,"http://viaf.org/viaf/18595062; http://viaf.org/viaf/283347; http://viaf.org/viaf/40868358; Not available; http://viaf.org/viaf/228390011; http://viaf.org/viaf/34346025; http://viaf.org/viaf/93986255; Not Available; Not Available; http://viaf.org/viaf/96572","Frederick S. Church; Robert F. Blum; James S. King; Stephen J. Parrish; Herman N. Hyneman; Frederic"
535,89679830,25244,83,2,"A PHILOSOPHY EMBATTLED.",2020-02-11,1917,NULL,NULL,done,multi,,,,NULL,,,,
536,90135638,25067,NULL,2,"Nature and Man.",2020-02-10,1889,NULL,NULL,done,single_focus,"Nature and Man",1889,"D. Appleton & Co. ",http://viaf.org/viaf/129012558,Nonfiction,$2.00,http://viaf.org/viaf/27854648,"J. Estlin Carpenter"
549,89751266,24087,NULL,3,"Review 1 -- No Title",2020-02-10,1881,NULL,NULL,done,single_focus,"Certain Men of Mark, Studies of Living Celebrities",1881,"Roberts Brothers",http://viaf.org/viaf/146678246,"Nonfiction - biographical",,http://viaf.org/viaf/27443390,"George Makepeace Towle"
553,125730970,35448,NULL,1,"Review 2 -- No Title",2020-02-01,1902,NULL,NULL,done,single_focus,"American State Reports, volume 84",1902,"Bancroft-Whitney Company",NULL,"Nonfiction - report",,http://viaf.org/viaf/3933845,"A.C. Freeman"
556,90159404,25067,NULL,3,"Miss Amelia E. Barr's ""Young People of Shakespeare's Dramas.""",2020-02-11,1882,NULL,NULL,done,single_focus,"Young People of Shakespeare's Dramas",1882,"The Appletons",NULL,"Nonfiction - historical",$1.50,http://viaf.org/viaf/39738880,"Amelia E Barr"
558,90426068,24565,NULL,3,"RECOLLECTIONS OF A NONAGENARIAN of Life in New England, the Middle West and New York, Including a Mission to Great Britain, toge",2020-02-11,1898,NULL,NULL,done,multi,,,,NULL,,,,
560,90598758,24565,NULL,1,Literature,2020-02-01,1904,NULL,NULL,done,single_focus,"Autobiography: Memories and Experiences of Moncure Daniel Conway",1904,"Houghton, Mifflin & Co.",http://viaf.org/viaf/159556432,"Nonfiction - autobiographical",$6.00,http://viaf.org/viaf/17327998,"Moncure D. Conway"
565,124743705,24243,89,3,"AN HISTORICAL TRILOGY",2020-02-11,1919,NULL,NULL,done,multi,,,,NULL,,,,
567,89669886,25244,NULL,4,"Review 2 -- No Title",2020-02-18,1913,NULL,NULL,done,not_review,,,,,,,,
578,136902134,24285,NULL,3,"Book Notices.",2020-02-10,1890,NULL,NULL,done,multi,,,,NULL,,,,
586,124752894,24243,NULL,3,"THE COMES UP SMILING""",2020-02-10,1914,NULL,NULL,done,single_focus,"He Comes Up Smiling",1914,,NULL,"Drama - romance",,http://viaf.org/viaf/271034707;http://viaf.org/viaf/271115854,"Byron Ongley;Emil Nyitray"
589,89676173,25244,92,3,"ROMANTICISM IN LITERATURE AND LIFE.",2020-02-10,1910,NULL,NULL,done,single_focus,"The Passions of the French Romantics",1910,"Charles Scribner's Sons",http://viaf.org/viaf/121555288,"Nonfiction - historical",,http://viaf.org/viaf/64382323,"Francis Gribble"
591,137059915,35616,NULL,3,"A BUNDLE OF SERMONS.",2020-02-11,1887,NULL,NULL,done,multi,,,,NULL,,,,
594,136031325,24536,NULL,3,"Our Book Table.",2020-02-10,1901,NULL,NULL,done,multi,,,,NULL,,,,
597,90631209,24565,NULL,1,"The Story of the Pilgrims",2020-02-01,1919,NULL,NULL,done,single_focus,"The Pilgrims and Their History",1919,Macmillan,http://viaf.org/viaf/140726562,Nonfiction,$2,http://viaf.org/viaf/106964004,"Roland G. Usher"
600,90622858,24567,96,2,"A Modern Shepherd to His Flock",2020-02-10,1924,NULL,NULL,done,single_focus,"The Editor And His People",1924,"The Macmillan Company",http://viaf.org/viaf/140726562,Nonfiction,$2.50,"http://viaf.org/viaf/22217519; http://viaf.org/viaf/39014803","William Allen White; Helen Ogden Mahin"
605,89683657,25244,98,3,"""APPRAISED BY SMITH.""",2020-02-11,1910,NULL,NULL,done,single_focus,"A Catalogue Raisonne of the Works of the Most Eminent Dutch, Flemish, and French Painters, with a Description of their Principal Pictures",1910,"E. P. Dutton & Company",http://viaf.org/viaf/266034617,Nonfiction,,,"John Smith"
609,89646871,25244,NULL,1,"THE GREENLANDER AT HOME.",2020-02-02,1894,NULL,NULL,done,single_focus,"Eskimo Life",1894,"Longman's, Green, & Co.",http://viaf.org/viaf/124935207,Nonfiction,,"http://viaf.org/viaf/24638086; http://viaf.org/viaf/2509112","Fridtjof Nansen; William Archer"
613,127542608,24380,NULL,4,"Review 2 -- No Title",2020-02-17,1898,NULL,NULL,done,single_focus,"Footprints of the Apostles",,"Longmans, Green & Co.",http://viaf.org/viaf/124935207,Nonfiction,,http://viaf.org/viaf/70549326,"Herbert Mortimer Luckock"
615,127390820,24380,NULL,2,"Our Book Table.",2020-02-11,1893,NULL,NULL,done,single_focus,"The Youth Of Frederick The Great",1893,"S.C. Griggs & Co. ",http://viaf.org/viaf/125758087,Nonfiction,$2,http://viaf.org/viaf/7392798,"Ernest Lavisse"
618,760950213,60393,103,4,"Art Music and Literature",2020-02-19,1902,NULL,NULL,done,cluster,,,,,,,,
622,90221629,35438,105,2,"TWO RADICALS OF THE OLD SCHOOL.",2020-02-10,1898,NULL,NULL,done,not_review,,,,NULL,,,,
630,89653017,25244,NULL,1,"An example of amiable verbosity.",2020-02-01,1900,NULL,NULL,done,single_focus,"A Memoir of Her Royal Highness Princess Mary Adelaide, Duchess of Teck",1900,Scribner's,http://viaf.org/viaf/121555288,"Nonfiction - autobiographical",,http://viaf.org/viaf/36485940,"C. Kinloch Cooke"
645,136992742,35682,NULL,1,"Students and the Modern Missionary Crusade",2020-02-02,1906,NULL,NULL,done,single_focus,"Students and the Modern Missionary Crusade",1906,"New York Student Volunteer Movement for Foreign Missions",NULL,"Nonfiction - addresses",$1.50,,
646,124747684,24243,109,3,"IV. MR. HARBEN'S ""ABNER DANIEL.""",2020-02-10,1902,NULL,NULL,done,single_focus,"Abner Daniel",1902,"Harper and Brothers",http://viaf.org/viaf/122099855,Fiction,,http://viaf.org/viaf/4090827,"Will N Harben"
